"","teacher","posterior","p","prior"
"108","Kris",2.65871504896589e-07,0.0707070707070707,0.00258545743371041
"109","Kris",4.16949626228419e-07,0.0808080808080808,0.00310431149583204
"110","Kris",6.31987886067188e-07,0.0909090909090909,0.00371779477938901
"111","Kris",9.32043267982469e-07,0.101010101010101,0.00444117362774295
"112","Kris",1.34377328323209e-06,0.111111111111111,0.0052917864537283
"113","Kris",1.90064015734559e-06,0.121212121212121,0.00628925331208086
"114","Kris",2.64431451759017e-06,0.131313131313131,0.00745569413431345
"115","Kris",3.62629967378847e-06,0.141414141414141,0.00881595364281772
"116","Kris",4.9097973984473e-06,0.151515151515152,0.0103978304549199
"117","Kris",6.57183530819725e-06,0.161616161616162,0.0122323073415919
"118","Kris",8.70567440760401e-06,0.171717171717172,0.0143537790256792
"119","Kris",1.14235129561209e-05,0.181818181818182,0.016800273299081
"120","Kris",1.4859499437832e-05,0.191919191919192,0.0196136606177523
"121","Kris",1.91730629356244e-05,0.202020202020202,0.0228398467104084
"122","Kris",2.45525635311409e-05,0.212121212121212,0.026528942126438
"123","Kris",3.12192583805817e-05,0.222222222222222,0.030735402068057
"124","Kris",3.94315707886224e-05,0.232323232323232,0.0355181293205587
"125","Kris",4.94896398831368e-05,0.242424242424242,0.0409405326339362
"126","Kris",6.17401173842855e-05,0.252525252525253,0.047070532542015
"127","Kris",7.65811655098784e-05,0.262626262626263,0.0539805063555019
"128","Kris",9.4467596363568e-05,0.272727272727273,0.0617471639576055
"129","Kris",0.000115916078370351,0.282828282828283,0.0704513460895682
"130","Kris",0.000141510319675605,0.292929292929293,0.0801777370622726
"131","Kris",0.000171906122197583,0.303030303030303,0.0910144842910664
"132","Kris",0.000207836183576787,0.313131313131313,0.103052717743562
"133","Kris",0.000250114508026704,0.323232323232323,0.116385963330423
"134","Kris",0.000299640271553841,0.333333333333333,0.131109445468548
"135","Kris",0.000357400972737673,0.343434343434343,0.147319275510651
"136","Kris",0.000424474687852768,0.353535353535354,0.165111524464828
"137","Kris",0.000502031239227068,0.363636363636364,0.184581180414643
"138","Kris",0.000591332079038999,0.373737373737374,0.205820993279369
"139","Kris",0.000693728687945482,0.383838383838384,0.228920212001207
"140","Kris",0.000810659289672504,0.393939393939394,0.25396322187902
"141","Kris",0.000943643689619497,0.404040404040404,0.281028092544719
"142","Kris",0.00109427605819247,0.414141414141414,0.310185049948438
"143","Kris",0.00126421549845873,0.424242424242424,0.341494888623544
